"Time","Location","Object","Participant","Means","Denoter"
"","","","１２３４人","","受伤"
"","","","","","说"
"今年３月","安巴尔省","","","","暴力事件"
"","","","１５６名平民","","死亡"
"","","","７４１名平民","","受伤"
"","首府拉马迪","","８０人","","死亡"
"","","","４４８人","","受伤"
"","费卢杰","","７６人","","死亡"
"","","","２９３人","","受伤"
"自去年年初以来","伊拉克","安全","","","严峻"
"","","","联合国伊拉克援助团","","统计"
"２０１３年","伊拉克","","","","恐怖袭击"
"","","","","","暴力冲突"
"","","","８８６８人","","死亡"
"","","","超过１．８万人","","受伤"
"本年度","伊拉克","","","","恐怖袭击"
"２月28日","希拉市","","","","炸弹袭击"
"","","","１25名平民","","死亡"
"","","","２００人","","受伤"
"3月2日","卡尔巴拉","","什叶派穆斯林","","云集"
"","","","","","活动"
"上午10时许","卡尔巴拉和巴格达两地","","","","自杀性爆炸袭击"
"","","","271人","","丧生"
"","","","600多人","","受伤"
"","","","","","爆炸"
"","","","美军","","锁定"
"3月31日","","","美国《时代》周刊","","报道"
"日前","","","伊拉克警方","","证实"
"30日","伊拉克","一座安全检查站","","","枪击"
"随后","拉马迪市","一桥梁","","自杀式汽车炸弹","袭击"
"目前","","","","","袭击"
"","","","16人","","死亡"
"","","1座桥梁","","","倒塌"
"","","","","","报道"
"","","安检站","","","袭击"
"","靠近伊拉克拉马迪市的1座桥梁上","汽车","袭击者","","引爆"
"","","","","","爆炸"
"","","","5人","","死亡"
"","","","7人","","受伤"
"","","","伊拉克警方","","表示"
"","幼发拉底河","部分桥体","","","坠入"
"","","","伊拉克警方","","称"
"当天","巴格达以南的约塞菲耶郊区一个超市的入口处","","","炸弹","爆炸"
"","","","4名顾客","","死亡"
"","","","9人","","受伤"
"4月4日","","","中新网","","电"
"4日","","","外媒","","报道"
"","","","俄罗斯联邦安全局FSB","","说"
"","","","俄方","","拘捕"
"上个月","克里米亚","","这些人","","被指"
"","","","","","公投"
"","","","","","恐怖攻击"
"","","","FSB","","说"
"","俄国境内","","乌克兰人","","恐怖袭击"
"","","","FSB","","被控"
"","","照片","","","偷拍"
"","","","极端分子","","联系"
"","","","FSB","","说"
"3月14日到17日期间","","俄罗斯的罗斯托夫、伏尔加格勒、特维尔、奥廖尔、别尔哥罗德、卡尔梅克和鞑靼斯坦地区","这些人","","袭击"
"","","","乌克兰安全局负责人","","说"
"","","武器和炸药","FSB","","空运"
"","","","","","指出"
"","","","俄罗斯","","兼并"
"","","","北约","","说"
"","乌克兰东部边境","","俄国","","集结"
"4月11日","","","中国网","","讯"
"周四（4月10日）","","","博尔特尼科夫","","表示"
"","","索契奥运设施","俄安全局和一些列其它国家","","制止"
"","","","","自杀式炸弹","爆炸"
"","","","博尔特尼科夫","","表示"
"","","","","","担心"
"冬奥会期间","索契","航班","","","飞往"
"","","","","","恐怖袭击"
"","","液体","","","携带"
"","","","他","","称"
"","","特别液体","恐怖分子","","使用"
"昨日","","","博尔特尼科夫","","称"
"","","恐怖袭击","","","制止"
"","","具体细节","","","明确"
"4月8日","","","人民网","","讯"
"日前","","","博尔特尼科夫","","表示"
"2014年第一季度","","恐怖袭击19起","俄安全局","","阻止"
"","","","博尔特尼科夫","","指出"
"一季度","","爆炸装置79个","俄","","缴获"
"2004年9月1日","俄北奥塞梯共和国别斯兰第一中学","","1000余名学生、家长和教师","","劫"
"","","","335人","","死亡"
"10时","","","武装恐怖分子","","占领"
"","","","约1200名师生和家长","","扣作人质"
"","","","恐怖分子","","进攻"
"","","","警察","","交火"
"11时30分","","纸条","恐怖分子","","扔出"
"","车臣","","俄罗斯","","撤军"
"","","","恐怖分子","","释放"
"","别斯兰","","扎索霍夫","","抵达"
"12时","","","解决人质指挥部","","联系"
"12时15分","学校","","约50名儿童","","逃脱"
"13时","俄黑海海滨城市索契","","普京","","返回"
"","机场","","俄强力部门领导人","","会议"
"15时30分","","","恐怖分子","","释放"
"18时50分","","","俄罗斯","","呼吁"
"凌晨1时15分","","","罗沙利医生","","联系"
"3时","","电话谈判","恐怖分子","","中断"
"5时","","","联合国安理会","","谴责"
"","北奥塞梯","","恐怖分子","","扣押"
"10时30分","","","俄总统新闻局","","宣布"
"12时","","","谈判人员","","联系"
"13时50分","","","普京","","会见"
"","","","","","表示"
"14时","","","俄联邦安全局驻北奥塞梯官员","","表示"
"16时40分","","","恐怖分子","","释放"
"凌晨2时","","电话联络","","","中断"
"","","数枚火箭弹","武装分子","","发射"
"","","","1名警察","","受伤"
"8时","","","谈判人员","","联络"
"12时45分","","","行动指挥部","","商定"
"","学校","人质尸体","","","运送"
"13时零5分","学校","尸体","紧急情况部的人员","","运送"
"此时","","","","","爆炸"
"","","","部分人质","","外逃"
"","","","恐怖分子","","开枪"
"13时15分","学校","","特种部队","","冲进"
"","","","人质","","解救"
"13时50分","学校","","部分恐怖分子","","窜出"
"","","","俄军警","","交火"
"16时","","学校","俄军","","控制"
"","","","","","抵抗"
"17时","学校体育馆","100多具尸体","","","发现"
"17时40分","","","俄联邦安全局驻北奥塞梯官员","","表示"
"恐怖分子向人群开枪后","","","特种部队","","行动"
"19时30分","","","20名恐怖分子","","消灭"
"19时50分","","","阿斯拉哈诺夫","","透露"
"","","","超过150人","","死亡"
"凌晨","别斯兰","","普京","","飞抵"
"","","","伤员","","看望"
"当天上午","莫斯科","","","","返回"
"4日上午","","统计","俄媒体","","发布"
"","","","27名恐怖分子","","打死"
"","","","3人","","活捉"
"","","","至少有250人","","死亡"
"目前","学校","150具遇难者的尸体","","","运出"
"","","","704人","","受伤"
"","","","10多人","","战死"
"","","","18人","","负伤"
"当地时间7月11日傍晚","印度西部城市孟买","","","","爆炸"
"","","","至少200人","","死亡"
"傍晚运输高峰时段","西线城铁","","","","连环爆炸"
"","","","印度政府","","宣布"
"","","","警方","","怀疑"
"2007年8月25日夜","印度南部安得拉邦首府海得拉巴","","","","恐怖爆炸"
"","","","42人","","死亡"
"","","","50多人","","受伤"
"","","","印度中央情报机构","","称"
"","印度东北部那加兰邦和阿萨姆邦","爆炸声","","","传出"
"","","","44人","","死亡"
"","","","上百人","","受伤"
"3日","阿萨姆邦苏尼特普尔地区","","","","爆炸"
"","","","3人","","死亡"
"","","","20人","","受伤"
"1947年","","","印度","","独立"
"","该地区","","5万多人","","丧生"
"2007年8月25日","印度南部城市海得拉巴","","","","恶性爆炸"
"","","","至少42人","","死亡"
"","","","70多人","","受伤"
"","","","有关医护人员","","透露"
"","","死亡人数","","","增加"
"","海得拉巴市中心鲁比尼游乐园内的露天剧场","","","","表演"
"当晚7点45分左右","","","","","爆炸"
"","","","3名观众","","死亡"
"","","","数十人","","受伤"
"","","尸体","","","炸飞"
"","周边的座位上","","","","散落"
"","医院","","多数伤者","","送往"
"","","","","","不治身亡"
"约15分钟后","在距离游乐园约5公里的著名商业区库替","餐馆","","","爆炸"
"","","","25人","","死亡"
"","","","数十人","","受伤"
"周末的傍晚","","","市民","","逛街"
"","现场","","人们","","逃离"
"","","","","","爆炸"
"","现场","","当地警方","","封锁"
"","","","人群","","疏散"
"","","爆炸事件","","","调查"
"","医院","数十辆救护车","","","穿行"
"","","","伤员","","救护"
"","现场","","法警和警犬","","赶到"
"","","","","","侦查"
"在15分钟内","海得拉巴的一个休闲公园","","","","爆炸"
"","","爆炸物","警方","","发现"
"当时","","爆炸装置","","","启动"
"","","","警方","","赶到"
"","电影院内","一个爆炸装置","","","放"
"25日早晨","海得拉巴市的三个地方","爆炸物","警方","","发现"
"","","","","","爆炸"
"","","","帕蒂尔","","谴责"
"","","","帕蒂尔","","慰问"
"","","","","","指责"
"","","","辛格","","呼吁"
"","","","雷迪","","爆炸"
"","","","","","会议"
"","","目前局势和应对措施","","","商讨"
"","鲁比尼公园爆炸现场","","他","","前往"
"","","","","","视察"
"","","","","","部署"
"目前","","","首席部长","","宣布"
"","城市的各个出口","","警方","","封锁"
"","机场","","","","盘查"
"","当地的影院","活动","","","取消"
"","","安检装置","","","设置"
"2002年12月2日","哈特考帕火车站外","一辆公共汽车","","","爆炸"
"","","","2人","","死亡"
"","","","31人","","受伤"
"","","","","","爆炸"
"","","公共汽车尾部","","","受损"
"","","","警方","","逮捕"
"3月6日","","","中新网","","电"
"","","","美国中文网","","援引"
"","","","","","报道"
"","昆明","","","","恐怖袭击"
"","","","全球华人的心","","牵动"
"3月4日晚","学校","","波士顿大学留学生","","悼念"
"","","","遇难者","","祈福"
"3月4日晚","","悼念会","波士顿大学中国学生学者联合会","","组织"
"","","昆明","","","送去"
"","波士顿大学的Marsh教堂前","","学生","","聚集"
"","","蜡烛","","","捧"
"","","","遇难者","","祈福"
"","","祝福","","","写下"
"","","悼念会","学生","","提出"
"","","事件","","","听到"
"","","","他们","","说"
"","昆明","祝福","","","带回"
"","","","人们","","知道"
"","","","他们","","心系"
"","","","学生会主席袁海粟","","代表"
"","","昆明","","","送去"
"2005年7月23日凌晨","沙姆沙伊赫","","","","连环爆炸"
"目前","","","至少90人","","死亡"
"","","","240多人","","受伤"
"","","","埃及官方和目击者","","证实"
"","沙姆沙伊赫","","","","爆炸"
"","","","","","策划"
"","","汽车炸弹","","","爆炸"
"","","","自杀袭击者","","实施"
"","","","埃及安全部队官员","","告诉"
"","贾扎拉花园饭店","汽车","","","冲入"
"与此同时","城区旅游商品市场","汽车","","","爆炸"
"","海滨人行道附近","","","","第3起爆炸"
"","","","路透社","","说"
"","","一个大包","一名男子","","携带"
"","","","","","走到"
"然后","","","","用埃及口音的阿拉伯语","说"
"","","","一些人","","离开"
"两分钟后","这名男子放包的地方","","","","爆炸"
"","","","","","袭击事件"
"","一家网站","","一个自称“阿卜杜拉・阿扎姆旅”的组织","","声明"
"","","","埃及警方官员","","声明"
"周六","","","警方","","逮捕"
"","","","韩联社","","援引"
"16日","","","埃及当地媒体","","报道"
"当天","埃及东北部西奈半岛","","","","恐怖袭击"
"","","","4名韩国人","","死亡"
"","","","21人","","受伤"
"","","","","","据悉"
"","医院","","受伤人员","","送往"
"","","","","","治疗"
"","埃及和以色列的边境地区","","","","恐怖袭击"
"","","巴士","多名韩国游客","","乘坐"
"","","","","","袭击"
"10月7日晚10时","埃及红海旅游胜地西奈半岛","","","","3起爆炸"
"","","","35名以色列游客","","死亡"
"","","","160多人","","受伤"
"","埃及塔巴希尔顿饭店","","","","爆炸"
"","希塔尼角","","","","两起爆炸"
"","西奈半岛","","许多以色列人","","度假"
"10月25日","","","埃及安全部门","","宣布"
"","","爆炸","伊亚德・赛义德・萨拉赫","","实施"
"","","汽车炸弹","","","爆炸"
"","","","两人","","丧生"
"","","","国际在线","","报道"
"4日","北京","","中国外交部发言人秦刚","","表示"
"3日","巴基斯坦伊斯兰堡","恐怖袭击事件","中方","","谴责"
"3月3日","巴基斯坦首都伊斯兰堡","","法院","","开枪"
"","","炸弹","","","投掷"
"","","","","","袭击"
"","","","11人","","死亡"
"","","","25人","","受伤"
"4日","","","秦刚","","表示"
"","","恐怖袭击事件","我们","","谴责"
"","","","遇难者","","哀悼"
"","","","受伤人员和遇难者家属","","慰问"
"","","","中方","","支持"
"2006年7月11日晚","印度经济首都孟买","","","","爆炸"
"目前","","","至少200人","","死亡"
"","","","625人","","受伤"
"３月２５日","","","新华网联合国","","电"
"２５日","","","联合国安理会","媒体","声明"
"","","","","","谴责"
"４日","也门东部","","","","恐怖袭击"
"","","","","","重申"
"","","恐怖主义","","","打击"
"","","声明","","","说"
"","","","安理会","","重申"
"","","恐怖主义","","","威胁"
"","","恐怖主义","谁","","实施"
"","","罪责","","","开脱"
"同时","","","安理会","","强调"
"","","","实施者、组织者、资助者和支持者","","绳之以法"
"","","","所有国家","","敦促"
"","","","也门当局","国际法和安理会相关决议规定的义务","合作"
"２４日","","","安全官员","","说"
"当天","","政府军军营","基地”组织武装人员","","袭击"
"","","","２４名政府军士兵","","死亡"
"","","","１人","","重伤"
"当时","","","基地”组织分支","","宣布"
"","","事件","","","负责"
"３月１８日","","","新华网联合国","","电"
"１８日","","","联合国安理会","媒体","声明"
"","","","","言辞","谴责"
"当天","阿富汗法里亚布省","","","","恐怖袭击"
"","","","袭击者","","绳之以法"
"","","","安理会","","重申"
"","","恐怖主义行动","","","逆转"
"","","道路","阿富汗人民、政府及国际社会","","支持"
"１８日","阿富汗北部法里亚布省","","","自杀式","爆炸袭击"
"","","","１５名平民","","死亡"
"","","","２０人","","受伤"
"目前","","","组织和个人","","宣称"
"","","","","","袭击"
"2002年10月13日夜晚","印尼旅游胜地巴厘岛","","","","爆炸"
"","","","202人","","丧生"
"","","","巴赫蒂亚尔","","称"
"","","","","","爆炸"
"","","","","","恐怖袭击"
"19日","","","巴基斯坦电视台","","报道"
"当天凌晨","卡拉奇","","","","爆炸"
"","","","至少110人","","死亡"
"","","","200多人","","受伤"
"","贝・布托乘坐的卡车附近","","","","两次爆炸"
"","","","谢尔帕奥","","表示"
"","","","","","爆炸"
"","","","医院方面","","证实"
"","","","110人","","死亡"
"","","","200多人","","受伤"
"","","","巴联合通讯社","","报道"
"","","","恐怖分子","","袭击"
"18日","卡拉奇","","当局","","部署"
"18日下午","卡拉奇","","贝・布托","","抵达"
"","","","人民党支持者","","欢迎"
"","","一辆防弹汽车","巴政府","","提供"
"","","","她","","护送"
"","真纳墓","","","","去"
"","","","贝・布托","","讲话"
"","","","","","爆炸"
"","","该计划","贝・布托","","取消"
"","","","巴总统穆沙拉夫和总理阿齐兹","","谴责"
"","","","新华社驻外记者","","报道"
"当地时间9日晚","巴基斯坦西北边境省首府白沙瓦的一家五星级酒店","","","","爆炸"
"目前","","","18人","","死亡"
"","","","约70人","","受伤"
"","","","","","袭击"
"","","","多名外籍人士","","伤亡"
"","","","中国驻巴基斯坦大使馆","","说"
"","","","中国人","","伤亡"
"10日","","","联合国在巴基斯坦首都伊斯兰堡的一个新闻中心","","证实"
"","","","专员","","身亡"
"","","","工作人员","","受伤"
"","","","伊什拉特・里兹维","","电话采访"
"","","","","","说"
"10日","","联合国在白沙瓦的机构","","","关门"
"","","","他","","说"
"","","","巴安全部队官员","","说"
"9日晚","珍珠大陆酒店","卡车","几名武装人员","","驾驶"
"","","","武装人员","","开枪"
"","","","","","突破"
"","酒店大厅门口","卡车","","","冲"
"","","炸药","","","引爆"
"","","","据目击者","","说"
"","","酒店大堂和一楼","","","炸坏"
"","","40多辆汽车","","","炸毁"
"","爆炸现场","","警方","","赶到"
"","酒店周边地区","","","","封锁"
"","","","救援人员","","说"
"","","","一些伤者","担架","抬出"
"","","酒店大楼","","","损毁"
"","","玻璃","","","震碎"
"","","","","","袭击"
"","","","扎尔达里","","声明"
"","","这起事件","","","谴责"
"","","","有关部门","","救治"
"9日","","","潘基文","","声明"
"","","这起爆炸袭击事件","","","谴责"
"","","","潘基文","","说"
"","","","他","","悲伤"
"21日晚","巴基斯坦首都伊斯兰堡万豪酒店外","","","","炸弹爆炸"
"","","","60人","","死亡"
"","","","200多人","","受伤"
"","","","伊斯兰堡警察局长","","称"
"","","一辆载有炸药的汽车","","","撞向"
"","","40具尸体","我们","","找出"
"","","","","","爆炸"
"","","酒店","","","大火"
"","","","警方","","警告"
"","","酒店","","","坍塌"
"","","","香港文汇报综合外电","","报道"
"","","","目击者","","称"
"当地时间昨晚8时许","","一辆大型卡车","","","撞向"
"","","路障区","","","炸"
"","","","","","爆炸"
"","","天花","","","掀塌"
"当时","","","200至300人","","就餐"
"","现场","","一名记者","","称"
"","","","","","见到"
"","地上","","许多死伤者","","躺"
"","","","目击者","","称"
"","爆炸废墟","","一名美国国务院官员","","走"
"","","","一人","","流血"
"","","","他","","说"
"","","","","","第一次爆炸"
"","中餐厅后面","","他们","","转移"
"","","","他们","","见到"
"","","卡车","","","冲"
"","","","","","爆炸"
"","距离酒店数百米的国会","","扎尔达里","","演讲"
"21日","万豪酒店","","","","大爆炸"
"","","","警方","","表示"
"","酒店外的路障","一辆汽车","","","驶到"
"","","","","","爆炸"
"","","","目击者","","看见"
"","外面街道","车辆","","","破坏"
"","","车窗","","","爆开"
"","","","有人","","看见"
"","","建筑物窗户","","","爆裂"
"","","","","","爆炸"
"","酒店","","很多人","","跑"
"","地上","","其它人","","躺卧"
"","爆炸现场","","","","起火"
"","","浓烟","","","冒"
"","现场","多架救伤车","","","赶抵"
"","","","","","看见"
"","","","多人","","抬走"
"","","","国际在线","","消息"
"3・01","中国云南省昆明市","","","","暴力恐怖"
"4日","","","意大利驻华大使白达宁","","采访"
"","","该事件","","","谴责"
"","","","中国人民和政府","","慰问"
"","","","白达宁","","说"
"","","恐怖袭击事件","我","","谴责"
"","","","","","恐怖袭击"
"","","","中国、对失去生命的遇难者及家人","","损害"
"","","","中国人民，中国政府，特别是对遇难者的家属","","慰问"
"","","","我","","认为"
"","","理由","","","辩护"
"","","","","","希望"
"","","","恐怖分子和其幕后恐怖集团","","伏法"
"今天早上","昆明","公共汽车","","","爆炸"
"","","","2","","死"
"","","","14","","伤"
"今天下午","","","公安部","","派"
"","当地","","","","赶赴"
"","","","","","调查"
"3月1日23时30分许","","昆明火车站","警方","","封锁"
"当日21时20分许","昆明火车站","","","","恐怖袭击"
"","","","一伙歹徒","械","伤"
"","","消息","","","显示"
"截至2日6时","","","29人","","死亡"
"","","","130余人","","受伤"
"","","","习近平","","指示"
"","","","暴恐分子","依法","惩处"
"","","气焰","","","打下去"
"","","","新华社","","电"
"","","","记者","","获悉"
"3月1日晚","云南昆明火车站","","","","暴力恐怖"
"","","","公安部","","组织"
"40余小时","","","","","奋战"
"3月3日下午","","","","","告破"
"现","","","","","查明"
"","","","暴力恐怖团伙","","所为"
"","现场","","公安机关","","击毙"
"","","","","","击伤"
"","","","1名","","抓获"
"","","","其余3名","","落网"
"3日","","","记者","","获悉"
"","","","20名危重伤员","","脱离生命危险"
"1日晚","昆明火车站","","一伙歹徒","械","砍杀"
"","","","官方","","证实"
"截至2日零时许","","","27人","","死亡"
"","","","一百多人","","受伤"
"","","","习近平","","委派"
"3月2日凌晨","云南昆明","","孟建柱","","赴"
"","","","","","指导"
"","","","","","处置"
"3月1日晚","昆明火车站","","","","恐怖袭击"
"","","","受伤群众","","慰问"
"４月１５日","","","新华网阿布贾","","电"
"１５日","","","尼日利亚警方","","证实"
"１４日晚","尼东北部博尔诺州","","一所女子学校","","袭击"
"","","","１００余名学生","","劫持"
"","博尔诺州","","警察局长拉万・坦科","","告诉"
"１４日晚","该州切布克镇","","女子寄宿学校","","袭击"
"","","","１００余名学生","","劫持"
"","","袭击事件","警方","","调查"
"","","","学生","","解救"
"","","","媒体","","说"
"","学校","","一伙武装人员","","冲入"
"","","","学生","","绑架"
"","","","学生","","暴力"
"近４小时","","","","","袭击"
"","","","村民","","阻止"
"","","","名安保人员","","打死"
"","","","组织","","宣称"
"","","","警方以及当地媒体","","认为"
"","","","“博科圣地”","","怀疑"
"","","","","","袭击"
"","","","","","袭击"
"","","","７０余人","","丧生"
"2002年10月13日夜晚","印尼旅游胜地巴厘岛","","","","爆炸"
"","","","202人","","丧生"
"","","","巴赫蒂亚尔","","称"
"","","","警方","","宣布"
"10月13日","","","中新网","","电"
"","","","有关官员","","表示"
"周六晚上","巴厘岛","","","","爆炸"
"","现场","","警察","","抬离"
"","","","一些伤者","","呻吟"
"","","","警方","","称"
"","废墟","","一些伤者","","埋"
"","","","亚蒂姆-苏亚特姆","","表示"
"","","","一位当地的摄影师","","表示"
"","比较远的地方","玻璃","","","炸"
"","","","","","爆炸"
"","","15辆汽车","","","被毁"
"","","","他","","说"
"","","夜总会","","","夷为平地"
"","","臭味","我","","闻到"
"","","","警方官员","","表示"
"","","身份","","","辨认"
"","","遗体","","","炸"
"","","","警方","","称"
"","","","摄影师","","表示"
"","","","我","","看到"
"","","脑袋","","","炸"
"","","情景","他","","描述"
"","","","他","","说"
"","","肢体","我","","看到"
"","","这些镜头","我","","拍"
"","","","我","","拍"
"","","","我","","恶心"
"","","死伤现场","我","","见过"
"","","","波雷","","说"
"","夜总会","","他","","进入"
"","","","他","","进去"
"","","","另一名游客","","表示"
"","酒店房间","","游客","","进入"
"","户外或是海滩上","","","","睡觉"
"","","","很多人","飞机","返家"
"9月18日","索马里过渡政府所在地索南部城市拜多阿的议会大楼前","","","","汽车炸弹爆炸"
"","","","至少6人","","死亡"
"","","","多人","","受伤"
"","议会大厦门口","车队","","","行驶"
"","总统车队附近","一辆装有炸药的汽车","","","爆炸"
"","","","至少有6人","","死亡"
"","","","","","爆炸"
"","","","多人","","受伤"
"","","","优素福","","受伤"
"","","","目击者","","称"
"","","火球","","","冲入"
"","","多辆汽车","","","毁"
"","","","","","爆炸"
"","议会大楼附近","","","","第二起爆炸"
"当天","","","迪纳里","","说"
"","","","他","","说"
"","","","","","爆炸"
"","","","优素福","","讲话"
"","","","伊斯梅尔・胡雷・布巴","","说"
"","","汽车炸弹","","","引爆"
"１１月９日晚","约旦首都安曼三家酒店","","","","自杀式爆炸袭击"
"","","","５７人","","死亡"
"","","","３００多人","","受伤"
"","安曼","","中国国防大学学员代表团","","访问"
"","","","","","死亡"
"","","","","","受伤"
"3月2日","","","新华社联合国","","电"
"2日","","","联合国安理会","媒体","声明"
"","","","","言辞","谴责"
"1日","中国昆明火车站","","","","恐怖袭击"
"","","","","","呼吁"
"","","","实施者、组织者、资助者和支持者","","绳之以法"
"","","","","","声明"
"","","","安理会","","同情"
"","","","","","慰问"
"2003年8月19日","联合国驻伊拉克办事处","","","","袭击"
"","","","至少24人","","死亡"
"","","","100多人","","受伤"
"一周后","","第1502号决议","","","通过"
"彻夜","","","救援人员","","工作"
"20日上午","","搜救工作","","","停止"
"","现场","","新华社记者","","看到"
"","现场","铲车等工程机械","","","进入"
"","","废墟","","","清理"
"","","","救援人员","","说"
"","","","一位联合国高级官员","","说"
"","","","","","爆炸"
"","","","24人","","死亡"
"","","","100多人","","受伤"
"","现场","","美国调查人员","","抵达"
"","","破案线索","","","寻找"
"20日","巴格达","","伊拉克临时管理委员会","","说"
"","","爆炸事件","外国恐怖分子","","制造"
"","","","伊拉克人民","","斗争"
"","","","","","报道"
"20日","伊拉克","驻伊美军","","","袭击"
"","","","美军第四步兵师一名发言人","","说"
"当天","克里特地区","","美军车队","","袭击"
"","","","一名随军工程承包商","","死亡"
"","","","两名士兵","","受伤"
"","","","这名发言人","","透露"
"7月1日","伦敦","中新网","","","电"
"","","","英国安全官员","","称"
"6月30日","格拉斯哥机场","燃烧汽车","","","撞击"
"","","","警方","","称"
"29日","伦敦","","","","炸弹袭击"
"","英格兰北部","","两人","","逮捕"
"","","","警方","","称"
"","格拉斯哥机场","","五名旁观者","","受伤"
"","","","美国布什政府","","宣布"
"6月30日下午三点半(北京时间下午十一点半)","","一辆绿色的大切诺基","","","撞"
"","","车首","","","撞毁"
"","","","一名官员","","称"
"","","","数百人","","丧生"
"","","","威利-拉埃","","称"
"","医院","","一名男子","","治疗"
"","","","另一人","","拘留"
"","","","他","","说"
"","","“可疑装置”","警方","","发现"
"","一个安全地点","“可疑装置”","","","带往"
"","","","","","调查"
"","","","拉埃","","披露"
"","","","他","","说"
"","","此事","我们","","处理"
"","","","","","电"
"21日","","","肖明","","宣布"
"当天上午","“切尔基佐夫”市场","","","","爆炸"
"","","","10人","","死亡"
"","","","41人","","受伤"
"","","","肖明","","说"
"","市场内的两个集装箱之间","","","","爆炸"
"目前","","","专家调查小组","","调查"
"","爆炸现场","","新华社记者","","看到"
"","","市场内所有店铺和摊位","","","关闭"
"","现场","","商人","","离开"
"2月6日上午8时40分左右","俄罗斯首都莫斯科","第二节车厢","","","爆炸"
"","","列车","","","大火"
"","","","大约50人","","死亡"
"","","","130多人","","受伤"
"","","","","","爆炸"
"","","","俄罗斯政府","","宣布"
"","","","","","爆炸"
"8月31日晚8时15分左右","莫斯科里加地铁站附近","炸弹","一名女性自杀爆炸袭击者","","引爆"
"","","","至少10人","","死亡"
"","","","51人","","受伤"
"2004年3月11日","西班牙首都马德里中部的一个火车站","","","","爆炸"
"","","","200人","","死亡"
"3月17日","马德里","","新华网","","电"
"17日","","西班牙报纸","","","说"
"","","","西班牙警方","","调查"
"","","","","","认为"
"","","报道","","","说"
"去年","摩洛哥","卡萨布兰卡连环爆炸事件","“摩洛哥战斗旅”","","制造"
"今年2月","西班牙北部布尔戈斯省西班牙炸药联盟工厂","炸药","该组织","","获得"
"本月11日","马德里的4辆近郊区旅客列车里","13包炸药","6人","","安放"
"","","炸药","","","引爆"
"","","","西班牙警方","","说"
"","","","索甘姆1人","","逮捕"
"","","","有一些人","","说"
"","","","有的","","扬言"
"","","","","","报道"
"","","消息","西班牙国家情报中心","","得到"
"","马德里","","","","爆炸事件"
"","马德里","爆炸事件","一名伊拉克上校","","制造"
"","","秘密情报","国家情报中心","","报告"
"1993年","","","“摩洛哥战斗旅”","","成立"
"","伊拉克南部库尔德地区","","","","训练"
"","","该组织","","","获得"
"","","新华社","","","电"
"3日","首都马德里5个加油站","","西班牙民族分裂组织“埃塔”","","5起爆炸"
"","","","2人","","轻伤"
"","","","西班牙内政部","","透露"
"当天下午5时30分","","《加拉报》","一匿名人士","","电话"
"","","","","","说"
"当天下午6时30分","马德里5个加油站","","","","爆炸"
"","安全地区","","西班牙警方","","转移"
"大约6时30分","5个加油站","","","","爆炸"
"","加油站","这些炸弹","","","安放"
"","","","","","爆炸"
"","","","","","交通堵塞"
"","","","","","恢复"
"当天","","","马德里大区政府","","呼吁"
"","","","","","宣布"
"","","","全城所有警备装置和人员","","出动"
"今年8月以来","西班牙北部地区","","“埃塔”组织","","爆炸"
"","","","一些人","","受伤"
"2005年5月9日","体育场","","","","爆炸"
"","","","30余人","","死亡"
"10日","","","雅科夫列夫","","宣布"
"","","","两名嫌疑人","","抓获"
