"Time","Location","Object","Participant","Means","Denoter"
"","","人员","","","伤亡"
"目前","","火灾原因","消防部门","","调查"
"4月14日","","","中新网","","电"
"","","","台湾“中央社”","","报道"
"今天清晨","台湾彰化县员林镇一间面包店","","","","火警"
"","","","5人","","丧生"
"","","尸体","","","焦黑"
"","","","","","难辨"
"","","5人身分","警察","","确认"
"今天早上7时左右","","报案","彰化县消防局","","接获"
"","","","","","称"
"","彰化县员林镇中山路一段一处民宅","","","","火警"
"","现场","消防车","","","前往"
"","","","","","灌救"
"","","","","","发现"
"","一间面包店","","","","失火"
"","","大火","","","熄灭"
"","","","","","发现"
"","店内","死者身份","","","确认"
"","","","本报","","讯"
"昨晨6点过","合川区柏树街78号居民楼下临街抄手店","","","","大火"
"","楼上","浓烟","","","直冲"
"","","","57户居民","","惊醒"
"","","大量烟雾","不少人","","吸入"
"上午11点过","事发现场","","记者","","赶到"
"","","大火","","","扑灭"
"","距离出事门面10米远处","焦糊气味","","","闻到"
"","","","记者","","看到"
"当时","","吕氏鸡肉抄手店","","","关门歇业"
"","门上","致歉告示","","","贴"
"","","","王先生","","介绍"
"","","","","","火灾"
"","现场","","工作人员","","赶到"
"","","秩序","","","维持"
"出事时","","咸菜","厨师","","炒制"
"同时","","","高队长","","证实"
"","","吕氏抄手店","","","处理"
"","","","合川消防支队和当地警方","","调查"
"5月4日上午十点多","合肥小庙镇周章村一农户家中","","","","大火"
"","","火","邻居","","扑灭"
"","","两万元钱","农户家","","损失"
"","","","辖区消防部门","","认定"
"","张师傅家","","","","失火"
"","","用电","","","短路"
"2008年4月5日上午10时","吉尔吉斯斯坦比什凯克市中国商人集中的中海市场","","","","大火"
"至下午2时","火场","明火","","","扑灭"
"","","","","","火灾"
"","","内部设施","","","烧毁"
"","","大楼主体结构","","","受损"
"","","","人员","","伤亡"
"","","","","","获悉"
"","","应急机制","中国驻吉使馆","","启动"
"","现场","","张延年","","亲赴"
"","","吉方","","","敦促"
"","","","","","避免"
"","","","张大使","","慰问"
"","","","","","表示"
"","","","商户","","协助"
"","","","","","善后工作"
"目前","","火灾原因","","","调查"
"2014年4月29日","四川德阳绵竹市新市镇的龙蟒集团一生产硫酸亚铁的车间","","","","火灾"
"","现场","12台消防车","30多名官兵","","赶到"
"","","","","","救火"
"","","","","","据悉"
"","现场","","","","爆炸"
"","","","人员","","伤亡"
"","","起火原因","当地有关部门","","调查"
"3月29日6时57分","","119指挥中心调度命令","四平市公安消防支队特勤消防","","接到"
"","位于铁东区南一纬七马路一家水暖件店铺","","","","火灾"
"","","报警","","","接到"
"","","辆水罐消防车、1辆器材消防车、","中队","","出动"
"","火灾现场","","","","赶赴"
"5分钟","","","","","救援"
"","","","4名被困人员","","救出"
"","安全地带","","","","转移"
"","","火势","","","控制"
"10分钟","","","","","扑救"
"","","大火","","","扑灭"
"2013年12月29日早上8点41分","","","南宁消防","","报警"
"","","","","","称"
"","圆湖路艺术学校","","","","火灾"
"","","","指挥中心","","调派"
"","现场","","","","赶赴"
"","","","校园君","","提醒"
"","","防火安全","","","注意"
"近期","意大利、西班牙、法国、希腊和克罗地亚","","","","山林火灾"
"目前","","财产","","","损失"
"27日","","","联合国粮农组织","","呼吁"
"","","早期预警及监控机制","各国","","建立"
"近期","意大利、西班牙、法国、希腊和克罗地亚等地中海沿岸国家","","","","山林大火"
"目前","","","8人","","死亡"
"","","数万公顷农田","","","烧毁"
"24日开始蔓延至今","意大利撒丁岛","","","","火灾"
"","","超过2.5万公顷田地","","","烧毁"
"","","","2人","","丧生"
"","","","数十名游客","","疏散"
"","西班牙","","官方","","估计"
"","","大约2万公顷农田","","","烧毁"
"","","","6名消防队员","","牺牲"
"","科西嘉岛上","","","","火灾"
"","马赛附近","大火","","","逼近"
"26日","南部","火情","","","出现"
"","","火灾警告","希腊政府","","发布"
"26日","契奥沃岛上","","","","大火"
"","","超过200公顷林地","","","烧毁"
"","","","太原新闻网","","讯"
"昨日下午6时许","南内环桥西龙城五交化市场内","门面房","","","起火"
"","","","市消防支队","","调集"
"","现场","","","","赶"
"半个多小时","","","","","扑救"
"","","大火","","","扑灭"
"","","","人员","","伤亡"
"晚上7时20分","","","记者","","赶到"
"","现场","火势","","","控制"
"","","","消防人员","","勘查"
"","该门面房外","玻璃窗","","","破裂"
"","地上","","","","散落"
"","房内","板材","","","燃烧殆尽"
"","房内","三轮摩托车","","","报废"
"","","","记者","","看到"
"6时10分左右","外面","生意","我","","谈"
"","","","","","看"
"","店里","火苗","","","蹿出"
"","","盆子","","","找"
"","","","","","接水"
"","","","","","扑救"
"","","第二盆水","","","接"
"","","大火","","","吞"
"","","","尚先生","","介绍"
"","","","","","统计"
"","店内","15辆崭新的三轮摩托车","","","烧毁"
"4月17日","合肥","","央广网","","消息"
"4月15日下午","宁洛高速凤阳县大溪河路段","罐体货车","","","行驶"
"","","","","","起火"
"1个多小时","","","消防部门","","扑救"
"","","火势","","","扑灭"
"","","油罐车车头","","","烧毁"
"","","","人员","","伤亡"
"当日下午16时09分","","报警","凤阳县消防大队","","接到"
"","宁洛高速凤阳县境内大溪河服务区前往洛阳方向两公里处","一辆油罐车","","","起火"
"","距离火灾现场三公里","浓烟","救援官兵们","","看到"
"","","","救援人员","","发现"
"","","油罐车","","","起火"
"","","车头","","","大火"
"","事故发生道路","","消防官兵","","封锁"
"","现场","火情","","","研判"
"十五分钟后","","火势","","","控制"
"","","驾驶室门","消防官兵","铁铤等工具","撬开"
"","驾驶室内部","水流","","","注入"
"","","车辆罐体","","","冷却处理"
"1个多小时","","","","","奋战"
"","","大火","","","扑灭"
"","","火灾发生原因","","","调查"
"昨日","安康市森林公安局汉滨分局","","记者","","获悉"
"近日","安康","天气","","","转暖"
"","安康境内","","","","火灾"
"","","明火","村民","","使用"
"","","","安康市森林公安局汉滨分局值班人员","","介绍"
"3月26日傍晚6时左右","恒口镇长行村","","","","山火"
"","","起火原因","","","推断"
"","","","村民","","上山"
"","","","","","上坟"
"","","纸","","","烧"
"接警后","现场","","森林消防及当地村民","","赶赴"
"","","","","","灭火"
"27日","","","众人","","上山"
"","","","","","灭火"
"当晚9时左右","","明火","","","扑灭"
"","","","人员","","伤亡"
"3月27日下午2时左右","包茂高速安康西服务区","","多位群众","","途经"
"","","","","","发现"
"","附近山体","","","","火灾"
"随后","","","","","报警"
"","","","","","发现"
"几小时后","","火灾","","","扑灭"
"","","起火原因","","","推测"
"","上坡","荒","附近某村民","","烧"
"","","","","","山火"
"27日傍晚6时左右","安康市城区","","","","大风"
"","香溪洞景区内","高压线路","","","碰撞"
"","","火花","","","产生"
"","附近山体","植被","","","起火"
"","","","消防人员","","扑救"
"27日晚11时左右","","明火","","","扑灭"
"","","","","","火灾"
"","","","人员","","伤亡"
"","","","四川在线宜宾频道","","消息"
"今（30）日上午","宜宾城区一大厦","","","","火灾"
"目前","","火势","","","控制"
"上午10时56分","城区真武路树刚大厦","","","","火灾"
"","现场","","","","浓烟"
"","","","施工人员","","被困"
"","","报警","","","接到"
"","","","宜宾市公安消防支队","","调动"
"","现场","","","","赶往"
"","","","2个搜救组","","组织"
"","","","","","搜救"
"11时33分","","火势","","","控制"
"","","","被困人员","","救出"
"","现场","","目击者","","称"
"","","","","","火灾"
"","","大厦风貌","","外墙装饰“材料”","整治"
"","","起火原因","","","调查"
"今天上午8点43分","租住在市区接官亭小区","","蔡女士","","准备出门上班"
"","家中浴室","","","","阵阵浓烟"
"","","","","","吓"
"","","门","","","推"
"","","","","","瞧"
"","","浴霸","","","着火"
"4月6日下午13时","","清明节期间全市森林火灾情况","山东省青岛市林业局","","通报"
"截至今天7时","青岛市","","","","森林火灾"
"","","5处火灾","","","扑灭"
"","","1处火灾","","","控制"
"","","","5名嫌疑人","","控制"
"","","","","","上坟烧纸烧香"
"","","","人员","","伤亡"
"3月26日下午1时27分","普宁市军埠镇一家庭作坊(主要生产内衣)","","","","火灾"
"1时54分","","火势","","","扑灭"
"截至发稿时","现场","","17名群众","","解救"
"","","","15人","","受伤"
"","医院","","","","救治"
"","","","","","接报"
"","","","揭阳市委书记陈绿平","","批示"
"","","搜救","普宁市及有关部门","","组织"
"","","","伤员","","抢救"
"同时","","","揭阳市委常委、常务副市长陈澄民，揭阳副市长、市公安局局长谢耀琪","","指派"
"","现场","","","","赶赴"
"","","事故处置小组","","","成立"
"","","7台消防车","揭阳市消防部门","","出动"
"","现场","","","","赶赴"
"","","","","","灭火"
"","现场","","普宁市党政主要负责同志","","赶赴"
"","","灭火和人员救治工作","","","组织"
"3月30日","东莞","","中新网","","电"
"30日早上","广东东莞万江区一纸品仓库","","","","火灾"
"截至记者发稿时","","明火","","","扑灭"
"","","","人员","","伤亡"
"","","","万江消防","","介绍"
"3月30日07时27分","","报警","万江大队值班室","","接到"
"","位于万江区新村卢屋工业区的东莞市铭丰包装品制造有限公司仓库","","","","火灾"
"","","","指挥中心","","调派"
"","现场","","","","赶往"
"","","","","","处置"
"","在现场","","记者","","看到"
"","","起火仓库的铁皮屋顶","","","坍塌"
"","","明火","","","扑灭"
"","火场","","消防员","","注水"
"","","","万江消防","","透露"
"目前","","明火","","","扑灭"
"","","","人员","","伤亡"
"","","起火原因","","","调查"
"五月二十一日","汕头","","中新社","","电"
"二十一日上午","汕头市潮阳区谷饶镇一家庭作坊","","","","大火"
"","","","记者","","发稿"
"","","","十三人","","死亡"
"","","","四人","","重伤"
"","现场","","记者","","采访"
"","","","","","了解"
"","一楼火灾事故现场","","记者","","看到"
"","","房屋","","","烧"
"今天上午七时二十六分","","报警","汕头市公安局110指挥中心","","接到"
"","谷饶镇上堡居委会张培雄家庭作坊","","","","火灾"
"","","","","","接报"
"","","十三部消防车","汕头市公安消防支队","","调集"
"","现场","","","","救援"
"","","九台消防车","潮阳、潮南区五支专职队","","调集"
"","现场","","","","增援"
"七时四十分","现场","","谷饶当地的专职消防队和义务消防队","","到达"
"","现场","","潮阳消防中队","","到达"
"九时","","火灾","","","控制"
"十时零五分","","","","","扑灭"
"","","","","","统计"
"","","","消防官兵","","救"
"","","","记者","","发稿"
"","","","十三人","","死亡"
"","","","四人","","重伤"
"目前","汕头市区三家医院","","伤者","","送往"
"","","","","","救治"
"","","火灾事故原因和直接财产损失","","","调查统计"
"","","","本报","","讯"
"昨日18时50分","越秀区起义路217号","建业大厦","","","火灾"
"","","","省委书记胡春华","","指示"
"","现场","","广州市委书记万庆良，副省长、省公安厅长李春生，市长陈建华，市委常委、常务副市长陈如桂，副市长、市公安局长谢晓丹","","指挥"
"","","","","","灭火"
"","","","","","救援"
"","","","群众","","疏散"
"","","","","","安置"
"","","灭火救援工作","市公安局组织消防支队、交警支队及越秀区公安分局","","开展"
"","","","消防部门","","调集"
"","到场","","","","扑救"
"期间","","","越秀区","","疏散"
"","临时安置点","","","","安置"
"","","食品和御寒物品","","","提供"
"2014年1月7日","广州番禺市桥街兴泰路","商铺","","","火灾"
"","","","从化女子","","烧死"
"(1月8日)","","","广州番禺警方","","通报"
"1月7日晚21时40分","","","警方","","报警"
"","","","","","称"
"","市桥街兴泰路","浓烟","商铺","","冒出"
"","","","番禺警方","","指令"
"","","","","","出警"
"","","","","","通知"
"","","","120急救人员","","救援"
"2014年1月12日","广州白云区","","","","火灾"
"","","一栋6层民宅","","","大火"
"","惠州","","一家6口","","死亡"
"","","","小花猫","","存活"
"","","起火原因","","","调查"
"昨日凌晨4时16分","三元里大道沙涌北村涌南街一巷19号","一栋6层民宅的1楼","","","火灾"
"4时50分","","明火","","","扑灭"
"","现场","烟","6人","","熏"
"","","","","","死"
"","","","省委常委、广州市委书记万庆良，市长陈建华，副市长谢晓丹和市有关部门负责人， 白云区主要领导及区公安、应急、安监等","","救援"
"","","","","","善后"
"","","","中国警察网","","讯"
"4月29日20时21分","广西贵港市西江农场一涂料厂","溶剂油罐","","","火灾"
"","","大火","","","燃烧"
"","","","","","浓烟"
"","四周","厂房","","","威胁"
"","","","贵港市消防支队指挥中心","","接警"
"","","11辆消防车","62名官兵","","调集"
"","","","","","前往"
"","","","","","扑救"
"21时50分","","大火","","","扑灭"
"","","","人员","","伤亡"
"昨日凌晨","海珠区南村路一民居","","","","大火"
"","","","两位老人","","死亡"
"","","","女主人跟小女儿","","受伤"
"","","","警方","","调查"
"","","电路","","","短路"
"","","手机充电器","","","爆炸"
"","","","","","火灾"
"昨日凌晨2时30分","南村路事故现场","","记者","","赶到"
"","","大火","消防员","","扑灭"
"","","险情","","","排除"
"","","","居民","","回家"
"","路边","","","","站"
"","","","","","观望"
"","","","住户","","说"
"","","","我","","看到"
"","对面楼501房","黑烟","","","冒"
"","阳台","","一对母女","","站"
"","","防盗网","","","抓着"
"","","","","","呼"
"","","","何先生","","称"
"","","","他","","发现"
"","501房","","","","冒烟"
"","","","","","呼叫"
"","","","","","报警"
"","","","何先生","","说"
"","","","消防队员","","破门而入"
"","","","两母女","","救出"
"","","","","","救"
"","","","她","","说"
"","医院","","她们","","送去"
"","","","","","抢救"
"3时30分","","险情","","","排除"
"","","","民警与消防队员","","搜索"
"","","","","","证实"
"","","","两位老人","","丧生"
"8月7日","乌鲁木齐","","新华网","","电"
"近十一个小时","","","","","扑救"
"","新疆阿勒泰地区布尔津县境内","","","","森林火灾"
"6日凌晨","","","","","扑灭"
"","","","冯强华","","介绍"
"5日18时左右","布尔津县冲乎尔乡乔巴特地区在建水电站以西大约两公里处的一片森林草场","","","","大火"
"","","很多灌木","","","烧毁"
"","","树木","","","燃烧"
"","","","人员","","伤亡"
"","","","","","火灾"
"","现场","","80余人","","赶赴"
"","","","","","灭火"
"一夜","","","","","扑救"
"6日凌晨4时","","大火","","","扑灭"
"","","","","","了解"
"目前","","火灾原因","","","调查"
"4月16日","昆明","","中新网","","电"
"16日下午","昆明市西山区棋台山","","","","森林火灾"
"当日16时许","昆明市城区西边","","","","浓烟"
"","","","记者","","获悉"
"","西山区团结镇棋台社区棋台山","","","","森林火灾"
"","火场","","森林消防人员","","赶赴"
"","","","","","扑救"
"","东莞","","本报","","讯"
"昨日7时许","东莞万江新村卢屋工业区的一家纸品厂","","","","大火"
"","周围十余公里外","浓烟","","","见到"
"","","风势","","","燃"
"","","8辆消防车","消防部门","","出动"
"","","","33名指战员","","派出"
"","","","","","驰援"
"上午10时许","","火情","","","控制"
"","","","人员","","伤亡"
"昨日上午9时许","现场","","记者","","赶往"
"","在南城与万江的交界处","滚滚浓烟","","","看见"
"7点不到","","","我","","听到"
"","","报警器","","","响"
"","","纸厂","","","起火"
"","起火纸品厂附近","","居民徐先生","","说"
"当时","周围","浓烟","","","笼罩"
"","现场","","记者","","了解"
"","","","","","得知"
"早晨7点多钟","","","","","大火"
"","","","","","扑灭"
"9时30分许","","","","","看见"
"","仓库内","明火","","","燃烧"
"","现场","","一位指挥灭火工作的相关负责人","","称"
"","","雷电","","","击坏"
"","","","","","大火"
"","","具体原因","","","调查"
"同时","","","记者","","了解"
"","","","人员","","伤亡"
"直至昨日下午1时许","起火现场","","记者","","离开"
"","","大火","","","熄灭"
"","","","本报","","讯"
"昨天早上","武昌雄楚大道小何村一条小吃街内","","","","火灾"
"","","火势","","","蔓延"
"","现场","","记者","","赶到"
"","","大火","","","扑灭"
"","与自家相邻不远的熟食铺里","浓烟","","","冒出"
"","","明火","","","蹿出"
"","","火势","","","蔓延"
"","起火店铺","卷闸门","","","开启"
"","","","附近商户","","扑救"
"","","几个煤气罐","","","抢出"
"","","119","","","拨打"
"","","","","","报警"
"","","","消防官兵","","赶到"
"","","火","","","扑灭"
"","","火灾原因","","","调查"
"２月５日","武汉","","","","电"
"５日","湖北武汉汉正街一塑料玩具和工艺品市场","","","","大火"
"目前","","","１０人","","受伤"
"","","","记者","","了解"
"上午９时５０分左右","","","","","火灾"
"","","","当地消防部门","","说"
"","","７９辆防消车","消防部门","","组织"
"","现场","","","","赶赴"
"","","","","","施救"
"到１２时左右","","明火","","","扑灭"
"","在现场","","记者","","看到"
"","","烧焦塑料味","","","弥漫"
"到１８时","向楼内","","消防人员","","喷水"
"","","","","","火灾"
"","","","罗清泉","","指示"
"","","","群众","","疏散"
"","","","人员","","抢救"
"","","火势","","","控制"
"","","","","","悉"
"","","","消防官兵","","疏散"
"","武汉市第一医院","","１０名伤者","","送到"
"","","","","","救治"
"","医院","","记者","","了解"
"","","","","","消息"
"6日晚","比利时一家养老院","","","","火灾"
"","","","9名老人","","死亡"
"","","","3名老人","","伤势严重"
"","比利时首都布鲁塞尔以西大约50公里的梅勒","","","","火灾"
"","养老院内","","100名老人","","火灾"
"","","","他们","","休息"
"","","","他们","","睡觉"
"","","房门","","","开着"
"目前","","事故原因","警方","","调查"
"","","","城市晚报四平","","讯"
"3月29日早","位于四平市铁东区南一纬与南二纬路之间南八经街的一家水暖器材商店","","","","火灾"
"","现场","","消防官兵","","到达"
"","","火","","","扑灭"
"","","","四名被困人员","","救出"
"当日早","","","","","火灾"
"","现场","","记者","","赶到"
"","","明火","消防官兵","","扑灭"
"","二楼窗户上","防盗网","一位消防战士","专业器具","破拆"
"","","防盗网","","","拆开"
"","屋内","","消防战士","","救出"
"","从消防二节拉梯上","","一对老年夫妇和一名中年男子","","逃"
"","","本报","","","讯"
"昨日上午","汕头市潮阳区谷饶镇上堡居委会五片张培雄家庭作坊","","","","火灾"
"","","耳机","家庭作坊","","生产"
"","","","","","火灾"
"","","","13名女工","毒烟","熏死"
"","院","","15人","","入"
"","","","","","救治"
"","","","3人","","重伤"
"","","","张培雄","","拘留"
"昨日7时26分","","","汕头市公安局110指挥中心","","报警"
"","","","","","接报"
"","","13台消防车","汕头市公安消防支队","","调集"
"","火场","","","","赶赴"
"","到现场","9台消防车","5支专职消防队","","调集"
"","","","","","增援"
"7时40分","现场","","谷饶当地的专职消防队和义务消防队","","到达"
"","现场","","潮阳消防中队","","到达"
"10时05分","","火灾","","","扑灭"
"","","","","","统计"
"","现场","","28名被困人员","","抢救"
"","","","13人","","死亡"
"","","","3人","","重伤"
"","市区3家医院","","伤者","","送往"
"","","","","","救治"
"","","火灾原因","","","调查"
"","","","省森林防火指挥部","","消息"
"昨日中午","沙县高砂镇端溪村","","","","森林火灾"
"","","火灾","","","蔓延"
"","","","","","火灾"
"","","专业力量","","","组织"
"","","","","","扑救"
"昨晚7时30分","","部分列车","","","正常运行"
"截至今日零时","","火势","","","控制"
"","","","","","获悉"
"","沙县高砂镇","","","","火灾"
"","","","省委书记卢展工、省长黄小晶","","指示"
"","","","","","扑火"
"","","","","","防范"
"","","","","","确保"
"","","要求","贾治邦","","提出"
"","省森林防火指挥部","","张昌平","","赶赴"
"","","扑救工作","陈桦","","部署"
"","","指示精神","省森林防火指挥部","","传达"
"","","","","","介绍"
"昨日13时40分许","","报告","高砂镇防火办","","接到"
"","端溪村","","","","森林火灾"
"","","火灾","","","蔓延"
"","沙溪河","火苗","","","飞过"
"","对岸","","","","起火"
"","高速公路","","","","越过"
"","向不同方向","","","","蔓延"
"","","报告","","","接到"
"","","","各级各有关部门","","行动"
"","火场","","领导干部","","赶往"
"","","","","","指挥"
"","","","三明市","","成立"
"","","","1500多人","","扑火"
"截至今日零时","","","","","伤亡"
"","","火烧面积","","","调查"
"","东莞","","本报","","讯"
